"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SST",8.46811185754221e-301,1.27800694686898,0.875,0.717,1.85062116534727e-296,"0","SST"
"MT-ND1",3.68764476573489e-209,0.564164328576354,0.993,0.979,8.05897887103703e-205,"0","MT-ND1"
"MT-ND4",6.45232605413055e-191,0.439189830253282,0.99,0.977,1.41009133586969e-186,"0","MT-ND4"
"MT-ND3",1.47561539152504e-156,0.441015510949859,0.97,0.952,3.22480987663882e-152,"0","MT-ND3"
"SP100",1.38530657485824e-122,1.38821689619815,0.707,0.617,3.02744898869519e-118,"0","SP100"
"PRRG3",1.18227306015733e-87,1.36333395483251,0.549,0.462,2.58373954566784e-83,"0","PRRG3"
"LDB1",7.6802523974908e-87,1.26358646364584,0.537,0.461,1.67844235894764e-82,"0","LDB1"
"DNMT3A",9.35343834870468e-86,1.35480352074406,0.565,0.492,2.04410041672592e-81,"0","DNMT3A"
"MT-ATP6",1.66300983640075e-69,0.294162222724766,0.983,0.974,3.63434169647019e-65,"0","MT-ATP6"
"RAB12",1.1634938310221e-65,1.31410023443109,0.508,0.449,2.5426994183157e-61,"0","RAB12"
"MT-ND2",7.26533844265949e-64,0.343069608984001,0.939,0.918,1.5877670632588e-59,"0","MT-ND2"
"COL6A3",4.05445082326486e-62,1.29405015366897,0.578,0.53,8.86059682916302e-58,"0","COL6A3"
"AP1M1",1.77492237391759e-60,1.19921022659069,0.483,0.42,3.87891535595951e-56,"0","AP1M1"
"S1PR2",6.13488420005761e-60,1.30306795123438,0.398,0.321,1.34071759308059e-55,"0","S1PR2"
"CBWD3",2.12855881555139e-59,1.20117105372376,0.465,0.406,4.65175243550602e-55,"0","CBWD3"
"AC010359.3",8.62485192780618e-50,1.21198420475921,0.384,0.302,1.88487514030276e-45,"0","AC010359.3"
"MT-CYB",2.1703462558086e-48,0.304699692820522,0.921,0.914,4.74307470744411e-44,"0","MT-CYB"
"MT-ND5",4.05593145510793e-44,0.363200845215997,0.779,0.792,8.86383260199287e-40,"0","MT-ND5"
"AL512646.1",3.24358736137038e-43,1.18478882518483,0.378,0.315,7.08853581953882e-39,"0","AL512646.1"
"SNX27",1.03487262120039e-34,1.31062696922147,0.354,0.298,2.26161062637134e-30,"0","SNX27"
